step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.85,5.7565,+0.0272,2.8823,2.8743,0.5523,+0.0009,8.8511,21.2370
1,0.87,5.5351,+0.0032,2.9040,2.6310,0.4703,+0.1608,7.6483,19.8106
2,0.88,5.5051,-0.0381,2.9157,2.5894,0.3745,+0.3739,7.0141,19.3387
3,0.86,5.4856,+0.0319,3.1820,2.3036,2.1735,+0.2168,7.3086,17.9864
4,0.87,5.2756,+0.0975,2.9223,2.3532,0.3870,+0.3585,6.1190,16.2601
5,0.86,5.1914,-0.0172,2.8952,2.2963,0.1996,+0.2995,5.3377,15.6338
6,0.88,5.2113,+0.0647,2.9549,2.2564,0.2718,+0.2451,5.7264,15.6440
7,0.89,5.1375,-0.0094,2.8608,2.2767,0.1909,+0.2662,5.1434,15.6375
8,0.89,5.0294,-0.0234,2.8038,2.2256,0.0935,+0.3865,4.2067,14.0013
9,0.88,5.0161,-0.0268,2.8186,2.1976,0.1773,+0.2490,4.5544,14.9502
10,0.86,4.9797,-0.0483,2.8182,2.1615,0.1194,+0.1582,3.4729,13.1951
11,0.87,4.9662,-0.0226,2.8098,2.1565,0.1496,+0.2463,3.1097,11.6695
12,0.87,4.9514,+0.0030,2.8143,2.1371,0.1352,+0.0936,2.6564,11.5890
13,0.87,4.9109,-0.0385,2.8171,2.0938,0.1440,+0.3515,3.0561,11.0027
14,0.89,4.8927,-0.0568,2.8197,2.0731,0.1435,+0.3443,2.9711,10.0646
15,0.88,4.9350,-0.0319,2.8032,2.1317,0.1375,+0.3485,2.7734,10.6117
16,0.86,4.8818,-0.0391,2.8022,2.0797,0.0959,+0.3892,2.7227,9.1148
17,0.88,4.8767,-0.0404,2.7950,2.0817,0.0828,+0.3945,2.7140,9.0579
18,0.87,4.8902,-0.0688,2.7633,2.1270,0.1089,+0.4020,2.7974,9.5309
19,0.88,4.8182,-0.0058,2.7729,2.0453,0.0581,+0.4316,3.0360,9.5692
20,0.89,4.8085,+0.0191,2.7891,2.0194,0.0667,+0.5786,2.4682,9.2453
21,0.89,4.8081,+0.0055,2.7509,2.0572,0.0641,+0.5518,2.6378,9.6436
22,0.88,4.7799,+0.0066,2.7089,2.0710,0.0583,+0.5211,2.2412,8.0550
23,0.88,4.8208,+0.0154,2.7466,2.0742,0.0695,+0.4495,2.6624,8.9433
24,0.87,4.7696,-0.0032,2.7014,2.0683,0.0597,+0.2778,2.2012,6.9311
25,0.87,4.7685,+0.0277,2.7402,2.0282,0.0492,+0.3040,2.4969,7.6569
26,0.87,4.7490,-0.0160,2.7034,2.0456,0.0331,+0.3525,2.4803,7.3304
27,0.89,4.7625,-0.0262,2.7235,2.0390,0.0384,+0.3289,2.2904,6.6760
28,0.88,4.7665,+0.0117,2.7006,2.0659,0.0417,+0.4665,2.4820,6.8639
29,0.88,4.7717,-0.0279,2.6954,2.0762,0.0517,+0.3280,2.3636,7.2340
30,0.87,4.7567,-0.0069,2.6982,2.0586,0.0337,+0.4237,2.3036,7.1855
31,0.88,4.7238,-0.0031,2.6936,2.0302,0.0545,+0.4645,2.3489,6.7795
32,0.89,4.7915,-0.0089,2.7593,2.0323,0.0596,+0.4418,2.5618,7.1694
33,0.88,4.7765,+0.0219,2.7430,2.0335,0.0665,+0.4238,2.3562,7.2579
34,0.89,4.7956,-0.0280,2.7386,2.0570,0.0401,+0.4624,2.2463,7.5390
35,0.89,4.7480,-0.0077,2.7426,2.0054,0.0232,+0.4960,2.1857,6.8161
36,0.88,4.7884,+0.0122,2.7447,2.0436,0.0309,+0.4016,2.3368,6.9902
37,0.89,4.7901,+0.0088,2.7651,2.0251,0.0931,+0.3314,2.3629,7.5770
38,0.88,4.7599,+0.0019,2.7431,2.0168,0.0348,+0.5667,2.1638,7.6367
39,0.88,4.8081,+0.0015,2.7870,2.0211,0.0477,+0.5341,2.0483,8.4262
40,0.89,4.7712,-0.0036,2.7834,1.9878,0.0995,+0.6348,2.4533,8.5405
41,0.90,4.8000,-0.0138,2.7521,2.0480,0.0484,+0.6096,2.3536,7.9090
42,0.86,4.7713,-0.0158,2.7570,2.0143,0.0344,+0.6605,2.1742,6.7965
43,0.88,4.7860,-0.0123,2.7573,2.0287,0.0391,+0.5801,2.5966,7.6174
44,0.90,4.7620,+0.0007,2.7338,2.0282,0.0270,+0.5985,2.3943,7.6837
45,0.88,4.7295,-0.0003,2.7007,2.0288,0.0230,+0.3947,2.3911,7.5361
46,0.89,4.7589,+0.0016,2.7780,1.9809,0.0435,+0.3808,2.4496,7.1604
47,0.87,4.7547,-0.0024,2.7485,2.0061,0.0195,+0.5998,2.4728,7.0459
48,0.88,4.7542,+0.0090,2.7321,2.0221,0.0226,+0.5356,2.3259,7.0545
49,0.88,4.7766,-0.0339,2.7741,2.0026,0.0304,+0.3586,2.3846,7.0179
50,0.88,4.7746,+0.0070,2.7625,2.0120,0.0410,+0.2549,2.1158,7.1769
51,0.88,4.7474,-0.0052,2.7529,1.9944,0.0863,+0.4763,2.0595,6.6899
52,0.91,4.7661,+0.0162,2.7300,2.0361,0.0264,+0.3600,2.3925,7.3099
53,0.88,4.7542,+0.0220,2.7241,2.0301,0.0191,+0.4128,2.3803,6.9544
54,0.89,4.7654,+0.0136,2.7088,2.0566,0.0159,+0.5934,2.0990,6.3392
55,0.89,4.7594,-0.0161,2.6852,2.0743,0.0097,+0.5958,2.1535,6.5763
56,0.89,4.7648,-0.0007,2.7043,2.0606,0.0206,+0.5336,1.8921,6.2790
57,0.89,4.7516,+0.0118,2.7125,2.0392,0.0214,+0.4659,1.8812,5.6025
58,0.89,4.7369,+0.0016,2.7287,2.0082,0.0299,+0.5999,2.0347,6.1663
59,0.89,4.7465,-0.0024,2.7370,2.0095,0.0144,+0.5672,1.9700,6.1364
60,0.88,4.7318,-0.0042,2.7535,1.9784,0.0149,+0.6204,1.7097,5.7121
61,0.88,4.7288,+0.0076,2.7267,2.0021,0.0160,+0.5898,1.8949,5.6744
62,0.90,4.7552,-0.0196,2.7132,2.0419,0.0240,+0.5630,1.8061,5.6989
63,0.89,4.7407,-0.0093,2.6790,2.0618,0.0168,+0.6390,2.0047,5.3734
64,0.89,4.7333,+0.0017,2.7014,2.0319,0.0132,+0.4262,1.7616,5.0456
65,0.89,4.7133,+0.0156,2.7011,2.0122,0.0287,+0.2918,1.4679,4.8040
66,0.89,4.7299,-0.0101,2.6906,2.0393,0.0174,+0.3500,1.6932,5.2239
67,0.89,4.7409,+0.0009,2.6920,2.0489,0.0156,+0.3710,1.7714,5.3493
68,0.88,4.7481,+0.0068,2.6934,2.0547,0.0165,+0.4199,2.3576,5.5562
69,0.90,4.7419,+0.0040,2.6688,2.0731,0.0192,+0.3751,2.3758,5.7133
70,0.88,4.7383,-0.0074,2.6909,2.0475,0.0213,+0.1286,1.7435,4.6822
71,0.88,4.7516,+0.0016,2.7013,2.0503,0.0502,+0.1682,1.8567,4.7569
72,0.87,4.7355,+0.0212,2.6864,2.0491,0.0217,+0.1355,1.4717,4.3985
73,0.89,4.7330,-0.0085,2.6850,2.0480,0.0126,+0.1782,1.6878,4.9659
74,0.86,4.7195,-0.0033,2.6962,2.0234,0.0165,+0.0998,1.5283,4.7832
75,0.88,4.7441,+0.0031,2.7409,2.0032,0.0167,+0.1807,1.4723,4.5923
76,0.89,4.7394,+0.0067,2.7346,2.0048,0.0197,+0.0856,1.5506,4.8646
77,0.88,4.7394,-0.0083,2.7454,1.9940,0.0247,+0.0693,1.5032,4.6080
78,0.88,4.7390,+0.0021,2.7633,1.9756,0.0490,-0.1122,1.5336,4.6304
79,0.88,4.7367,+0.0152,2.7371,1.9995,0.0328,-0.1632,1.5964,4.3377
80,0.89,4.7157,+0.0082,2.6689,2.0468,0.0154,-0.1549,1.6542,4.6807
81,0.88,4.7171,-0.0117,2.6966,2.0206,0.0130,-0.2175,1.4518,4.3110
82,0.89,4.7487,-0.0076,2.7161,2.0326,0.0541,-0.3121,1.7481,4.9422
83,0.89,4.7508,-0.0019,2.7331,2.0177,0.0409,-0.3015,1.5631,4.0735
84,0.88,4.7365,+0.0018,2.7133,2.0232,0.0134,-0.2130,1.6304,4.3224
85,0.90,4.7637,-0.0112,2.7430,2.0207,0.0233,-0.1319,1.7997,4.7771
86,0.89,4.7553,-0.0027,2.7087,2.0466,0.0359,-0.0866,1.7383,4.2838
87,0.88,4.7220,+0.0012,2.6633,2.0586,0.0157,-0.0978,1.6485,4.1902
88,0.88,4.7334,-0.0120,2.6724,2.0610,0.0106,-0.0327,1.6973,4.3244
89,0.87,4.7437,+0.0099,2.7168,2.0269,0.0194,-0.1491,1.7804,4.2577
90,0.89,4.7355,+0.0019,2.7096,2.0259,0.0150,-0.1611,1.7678,4.2594
91,0.87,4.7386,+0.0060,2.7018,2.0368,0.0539,-0.2362,2.0493,4.8306
92,0.88,4.7338,+0.0030,2.6963,2.0375,0.0175,-0.1601,2.0110,4.7266
93,0.89,4.7159,+0.0044,2.6572,2.0587,0.0135,-0.1452,1.9288,4.4120
94,0.88,4.7291,+0.0084,2.6602,2.0689,0.0113,-0.1009,1.8981,4.5476
95,0.89,4.7311,+0.0104,2.7138,2.0173,0.0156,-0.0475,2.1491,5.1444
96,0.90,4.7634,+0.0056,2.7326,2.0308,0.0836,-0.0756,2.4574,5.6514
97,0.88,4.7237,+0.0053,2.7080,2.0157,0.0184,+0.1108,1.6713,4.6505
98,0.87,4.7255,+0.0065,2.6793,2.0462,0.0154,+0.0401,1.9798,4.8607
99,0.89,4.7376,-0.0093,2.6671,2.0706,0.0203,+0.1491,1.8520,5.1423
100,0.89,4.7422,-0.0117,2.7101,2.0321,0.0306,+0.0689,1.7935,4.6124
101,0.89,4.7299,-0.0061,2.6878,2.0421,0.0215,+0.1493,1.7474,4.4472
102,0.90,4.7312,-0.0014,2.6868,2.0443,0.0131,+0.0903,1.8889,4.7410
103,0.87,4.7178,-0.0073,2.6721,2.0457,0.0170,+0.2071,1.7968,4.3106
104,0.88,4.7355,-0.0041,2.6766,2.0588,0.0201,+0.1496,1.6197,4.3260
105,0.89,4.7783,-0.0015,2.7723,2.0060,0.0909,+0.0996,1.7576,4.5337
106,0.90,4.7397,+0.0034,2.7292,2.0105,0.0128,+0.1552,1.8786,4.6711
107,0.90,4.7591,-0.0022,2.7549,2.0041,0.0201,+0.2542,2.1942,5.0222
108,0.87,4.7486,+0.0012,2.7724,1.9762,0.1002,+0.3047,2.2504,4.7777
109,0.87,4.7462,-0.0069,2.7213,2.0250,0.0193,+0.3146,2.4162,5.1960
110,0.88,4.7695,-0.0067,2.7947,1.9748,0.0477,+0.2039,2.1535,5.0677
111,0.88,4.7469,-0.0057,2.7713,1.9756,0.0420,+0.1681,1.8435,4.9797
112,0.87,4.7672,+0.0007,2.7880,1.9792,0.0513,+0.2249,1.8806,4.8010
113,0.88,4.7513,+0.0044,2.7605,1.9908,0.0210,+0.1890,2.1128,5.0395
114,0.88,4.7301,-0.0074,2.7265,2.0036,0.0278,+0.2896,1.7547,4.4454
115,0.89,4.7470,-0.0113,2.7194,2.0276,0.0272,+0.1365,1.6575,4.7314
116,0.89,4.7429,+0.0075,2.7046,2.0383,0.0309,+0.1853,1.9847,5.0022
117,0.88,4.7355,+0.0048,2.6847,2.0509,0.0104,+0.1093,1.9212,4.7511
118,0.90,4.7377,+0.0020,2.6950,2.0427,0.0161,+0.0933,1.8509,4.4933
119,0.88,4.7539,+0.0041,2.7391,2.0149,0.0223,+0.1544,2.0164,4.7237
120,0.88,4.7461,+0.0152,2.7625,1.9836,0.0244,+0.1345,2.0570,5.0522
121,0.88,4.7364,-0.0043,2.7244,2.0120,0.0164,+0.2487,2.0749,4.8848
122,0.89,4.7604,+0.0146,2.7862,1.9742,0.0615,+0.1807,2.3168,5.1701
123,0.87,4.7525,+0.0078,2.7597,1.9928,0.0159,+0.0141,2.1249,5.3634
124,0.89,4.7750,+0.0053,2.7828,1.9922,0.0402,+0.1761,2.1824,5.2614
125,0.88,4.7405,+0.0085,2.7237,2.0168,0.0196,+0.1351,1.9279,4.7162
126,0.88,4.7513,+0.0109,2.7419,2.0094,0.0131,+0.0922,2.3022,5.3143
127,0.89,4.7215,+0.0026,2.6829,2.0386,0.0092,-0.0203,2.0012,4.8191
128,0.89,4.7487,-0.0039,2.6944,2.0543,0.0187,-0.0676,2.2176,5.0745
129,0.90,4.7375,+0.0074,2.7240,2.0134,0.0357,-0.2008,2.1314,4.3673
130,0.88,4.7529,-0.0041,2.7594,1.9935,0.0408,-0.2003,2.0716,4.6023
131,0.86,4.7297,+0.0020,2.7035,2.0262,0.0548,-0.2692,1.9833,4.4085
132,0.89,4.7271,+0.0034,2.6958,2.0314,0.0140,-0.2288,2.1647,4.6940
133,0.88,4.7602,+0.0191,2.7191,2.0411,0.0436,-0.3325,2.0377,5.3259
134,0.87,4.7200,+0.0050,2.7053,2.0147,0.0273,+0.0194,1.5866,3.8274
135,0.89,4.7406,+0.0119,2.7074,2.0332,0.0326,-0.1591,1.7926,4.9809
136,0.90,4.7299,-0.0003,2.6847,2.0452,0.0162,-0.1246,1.7912,4.4609
137,0.88,4.7453,-0.0042,2.7359,2.0095,0.0347,-0.2020,1.8821,4.5813
138,0.88,4.7370,-0.0063,2.6927,2.0443,0.0200,-0.2073,1.9106,4.8077
139,0.89,4.7287,+0.0048,2.6875,2.0412,0.0135,-0.0539,2.3687,5.1842
140,0.90,4.7246,+0.0014,2.6791,2.0455,0.0101,-0.1339,1.9604,5.0120
141,0.89,4.7220,+0.0087,2.6765,2.0455,0.0085,-0.1308,1.9689,4.8793
142,0.88,4.7131,-0.0002,2.6770,2.0361,0.0104,-0.1043,2.0418,4.8638
143,0.89,4.7208,+0.0069,2.6787,2.0421,0.0165,-0.0938,2.0010,4.6505
144,0.88,4.6908,-0.0032,2.6654,2.0254,0.0297,-0.0924,1.9686,4.8153
145,0.89,4.7330,-0.0064,2.6745,2.0585,0.0100,-0.2459,2.0656,5.1950
146,0.88,4.7145,-0.0008,2.6595,2.0550,0.0073,-0.1219,1.8093,4.4829
147,0.89,4.7371,+0.0002,2.7040,2.0331,0.0209,-0.1362,2.0069,4.6975
148,0.88,4.7373,-0.0074,2.7253,2.0120,0.0142,-0.0250,2.0196,4.7417
149,0.87,4.7352,-0.0101,2.7333,2.0019,0.0075,-0.1238,1.8490,4.5161
150,0.89,4.7247,-0.0095,2.7066,2.0181,0.0085,-0.0954,1.5539,4.2558
151,0.88,4.7352,+0.0032,2.7074,2.0278,0.0209,-0.2744,1.6190,4.4773
152,0.88,4.7195,-0.0013,2.6515,2.0680,0.0067,-0.1280,1.7982,4.7148
153,0.87,4.7129,+0.0025,2.6574,2.0554,0.0062,-0.0361,1.6085,4.3512
154,0.88,4.7219,-0.0044,2.6877,2.0342,0.0106,+0.0369,1.8166,4.2432
155,0.88,4.7277,-0.0061,2.6977,2.0300,0.0171,+0.0022,1.8752,4.2084
156,0.89,4.7331,+0.0052,2.7063,2.0268,0.0245,-0.0081,1.8829,4.2698
157,0.89,4.7238,+0.0041,2.7037,2.0201,0.0139,-0.0053,1.6598,4.3731
158,0.89,4.7443,+0.0053,2.7275,2.0167,0.0212,+0.1429,1.7617,5.2591
159,0.89,4.7212,-0.0030,2.6972,2.0240,0.0070,+0.2584,1.5229,4.3541
160,0.89,4.7247,-0.0008,2.6807,2.0440,0.0117,+0.3329,1.5650,4.8312
161,0.88,4.7345,+0.0018,2.7156,2.0189,0.0151,+0.3125,1.5620,5.0801
162,0.91,4.7464,+0.0037,2.7538,1.9926,0.0144,+0.2895,1.6035,4.6355
163,0.89,4.7494,+0.0021,2.7640,1.9854,0.0236,+0.2279,1.6751,4.5049
164,0.87,4.7590,+0.0016,2.7635,1.9955,0.0180,+0.2175,1.5670,4.4091
165,0.89,4.7507,+0.0058,2.7727,1.9780,0.0349,+0.2528,1.6709,4.5575
166,0.88,4.7374,+0.0159,2.7389,1.9984,0.0370,+0.2139,1.4890,3.7370
167,0.87,4.7417,+0.0120,2.7285,2.0132,0.0205,+0.2451,1.7869,4.2127
168,0.88,4.7275,+0.0057,2.6927,2.0347,0.0195,+0.2380,2.0750,5.1199
169,0.86,4.7185,+0.0003,2.7037,2.0148,0.0071,+0.4110,1.8963,4.4667
170,0.89,4.7154,-0.0043,2.6877,2.0277,0.0054,+0.3143,1.8639,5.0912
171,0.88,4.7279,+0.0056,2.7503,1.9776,0.0228,+0.2703,1.7946,4.6065
172,0.89,4.7381,-0.0010,2.7520,1.9861,0.0083,+0.2037,1.6600,4.5805
173,0.88,4.7574,-0.0042,2.7639,1.9935,0.0286,+0.0972,1.7155,4.6229
174,0.88,4.7287,-0.0049,2.6870,2.0417,0.0067,+0.1232,1.6051,4.4489
175,0.90,4.7388,+0.0031,2.7199,2.0189,0.0288,+0.1100,1.6431,4.2060
176,0.89,4.7366,-0.0039,2.6857,2.0508,0.0082,+0.1958,1.7318,4.3961
177,0.88,4.7430,+0.0068,2.6841,2.0589,0.0241,+0.1299,1.8119,4.2917
178,0.90,4.7229,+0.0090,2.6481,2.0749,0.0074,+0.1757,1.7776,4.1784
179,0.91,4.7286,+0.0055,2.6538,2.0748,0.0093,+0.1534,1.8475,4.4076
180,0.87,4.7220,+0.0048,2.6631,2.0588,0.0075,+0.1488,1.8748,4.4739
181,0.88,4.7100,-0.0116,2.6926,2.0174,0.0090,+0.0527,1.8593,4.6288
182,0.87,4.7477,+0.0060,2.7561,1.9916,0.0245,+0.0192,1.8810,4.4817
183,0.87,4.7406,-0.0075,2.7356,2.0050,0.0146,+0.0516,2.1051,4.6067
184,0.88,4.7693,+0.0199,2.7770,1.9923,0.0384,+0.3144,1.6128,4.0962
185,0.87,4.7616,+0.0004,2.7807,1.9810,0.0499,+0.1450,1.8018,4.4158
186,0.89,4.7259,+0.0049,2.7457,1.9801,0.0132,+0.2050,1.9308,4.8638
187,0.90,4.7394,+0.0018,2.7576,1.9818,0.0087,+0.2594,2.0978,4.8819
188,0.88,4.7357,+0.0090,2.7731,1.9627,0.0142,+0.1852,2.0761,4.6099
189,0.87,4.7565,+0.0040,2.7837,1.9728,0.0370,+0.1368,2.0703,4.7486
190,0.89,4.7589,-0.0072,2.7844,1.9745,0.0235,+0.2799,2.2577,5.0464
191,0.88,4.7428,+0.0060,2.7240,2.0188,0.0101,+0.3511,2.3462,4.9784
192,0.88,4.7436,+0.0012,2.7400,2.0037,0.0233,+0.2244,2.2330,4.6568
193,0.88,4.7498,+0.0029,2.7877,1.9621,0.0245,+0.3067,2.2067,4.6361
194,0.87,4.7446,-0.0053,2.7700,1.9746,0.0130,+0.3869,2.3613,4.7677
195,0.89,4.7424,+0.0003,2.7824,1.9599,0.0120,+0.3648,2.2909,4.3741
196,0.89,4.7662,-0.0030,2.7935,1.9727,0.0378,+0.3931,2.4687,4.7387
197,0.88,4.7237,+0.0016,2.7458,1.9779,0.0395,+0.5175,2.2800,4.0976
198,0.87,4.7397,+0.0080,2.7383,2.0014,0.0138,+0.4569,2.9324,5.1628
199,0.89,4.7324,+0.0139,2.6934,2.0390,0.0076,+0.4677,2.7710,4.9886
200,0.89,4.7202,+0.0103,2.7010,2.0192,0.0061,+0.3699,2.5185,4.6914
201,0.86,4.7347,+0.0066,2.7134,2.0213,0.0084,+0.4405,2.6938,4.8041
202,0.86,4.7460,-0.0107,2.7341,2.0118,0.0179,+0.5109,2.8481,5.0168
203,0.87,4.7300,+0.0019,2.6978,2.0322,0.0083,+0.3454,2.6014,4.7782
204,0.84,4.7114,-0.0155,2.7090,2.0024,0.0073,+0.3896,2.5733,4.6067
205,0.87,4.7241,+0.0040,2.6973,2.0268,0.0074,+0.3042,2.6625,4.6402
206,0.88,4.7221,+0.0090,2.7331,1.9891,0.0120,+0.3776,2.5838,4.4830
207,0.88,4.7412,-0.0099,2.7287,2.0125,0.0134,+0.2538,2.8389,5.0836
208,0.86,4.7098,+0.0048,2.6923,2.0175,0.0052,+0.3913,2.5509,4.6522
209,0.87,4.7162,-0.0046,2.6859,2.0303,0.0046,+0.2452,2.5104,4.5896
210,0.86,4.7373,-0.0120,2.7257,2.0116,0.0136,+0.2672,2.3225,4.5840
211,0.86,4.7344,-0.0044,2.7282,2.0062,0.0092,+0.3179,2.4461,4.5932
212,0.87,4.7388,-0.0012,2.7281,2.0107,0.0106,+0.2709,2.3561,4.7682
213,0.86,4.7361,-0.0023,2.7317,2.0045,0.0099,+0.2175,2.3037,4.4134
214,0.87,4.7088,-0.0006,2.6688,2.0400,0.0070,+0.3271,2.2308,4.4685
215,0.87,4.7320,+0.0029,2.7022,2.0298,0.0089,+0.2196,2.1119,4.5836
216,0.88,4.7472,+0.0021,2.7528,1.9944,0.0184,+0.3436,2.2967,5.0760
217,0.87,4.7537,+0.0134,2.7574,1.9963,0.0259,+0.1263,1.9788,5.2119
218,0.88,4.7338,-0.0006,2.7242,2.0096,0.0209,+0.0420,1.4751,5.2077
219,0.87,4.7412,-0.0113,2.7412,2.0000,0.0153,-0.0913,1.3073,4.3261
220,0.88,4.7472,+0.0003,2.7519,1.9953,0.0126,-0.1358,1.4938,5.1801
221,0.86,4.7263,-0.0030,2.7358,1.9905,0.0126,-0.0473,1.3949,4.9582
222,0.87,4.7124,-0.0066,2.7112,2.0012,0.0063,+0.0562,1.4733,4.6265
223,0.87,4.7260,-0.0017,2.7271,1.9989,0.0158,+0.1069,1.2999,4.3799
224,0.87,4.7508,+0.0009,2.7662,1.9846,0.0616,+0.1394,1.4708,4.5693
225,0.87,4.7477,-0.0002,2.7354,2.0123,0.0261,+0.2619,1.7197,4.5405
226,0.88,4.7376,-0.0019,2.7370,2.0006,0.0258,+0.2464,1.6691,4.3492
227,0.87,4.7225,-0.0209,2.7106,2.0119,0.0198,+0.2211,1.8716,4.5504
228,0.87,4.7191,+0.0029,2.6804,2.0387,0.0067,+0.0585,1.3871,4.1637
229,0.87,4.7149,+0.0059,2.6665,2.0483,0.0058,-0.0399,1.2335,3.9148
230,0.87,4.7192,+0.0012,2.6784,2.0408,0.0052,+0.0477,1.4338,4.2510
231,0.86,4.7278,+0.0001,2.6667,2.0610,0.0110,-0.0040,1.5850,4.8300
232,0.88,4.7273,+0.0027,2.6583,2.0690,0.0057,+0.0714,1.6912,4.7757
233,0.87,4.7295,+0.0026,2.6846,2.0450,0.0116,+0.0495,1.4907,4.5679
234,0.88,4.7252,-0.0011,2.6790,2.0462,0.0053,+0.0607,1.4980,4.6046
235,0.89,4.7593,+0.0014,2.7574,2.0019,0.0730,-0.0449,1.5255,4.5927
236,0.87,4.7525,-0.0054,2.7264,2.0261,0.0147,+0.0557,1.5730,4.7493
237,0.87,4.7470,-0.0048,2.7275,2.0195,0.0110,+0.0422,1.5507,4.6819
238,0.86,4.7250,+0.0024,2.7405,1.9845,0.0070,+0.1596,1.5012,4.8044
239,0.87,4.7300,-0.0017,2.6930,2.0370,0.0077,+0.1151,1.5955,4.6620
240,0.88,4.7434,-0.0021,2.7262,2.0171,0.0176,+0.1467,1.5078,4.6192
241,0.88,4.7279,-0.0054,2.6921,2.0358,0.0151,+0.1432,1.4442,4.7431
242,0.88,4.7273,+0.0016,2.6737,2.0536,0.0114,+0.1834,1.4659,4.5682
243,0.87,4.7155,+0.0059,2.6479,2.0675,0.0075,+0.1727,1.8271,5.1638
244,0.88,4.7327,+0.0058,2.7072,2.0255,0.0098,+0.1871,1.7219,4.8806
245,0.88,4.7111,-0.0042,2.6761,2.0351,0.0039,+0.1639,1.7941,4.9282
246,0.88,4.7313,-0.0010,2.7019,2.0295,0.0067,+0.1930,1.7031,4.6194
247,0.88,4.7362,-0.0028,2.7014,2.0348,0.0078,+0.2137,1.6486,4.4876
248,0.88,4.7326,+0.0005,2.6828,2.0498,0.0059,+0.1524,1.8125,4.7870
249,0.87,4.7398,+0.0018,2.6962,2.0436,0.0121,+0.1676,1.7968,4.5570
